id.site,region,eco.id,eco.name,obs.year,esy16,site.type,hydrology,mngm.type,cwm.abu.sla.mean,cwm.abu.height.mean,cwm.abu.seedmass.mean,fric.abu.sla.mean,fric.abu.height.mean,fric.abu.seedmass.mean
M_BAD,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,179.725,0.1575,0.0016525,179.725,0.1575,0.0016525
M_BAL,centre,654,Central European mixed forests,2023,R22,negative,fresh,none,266.0575,0.6,0.001915,266.0575,0.6,0.001915
M_BOD,centre,654,Central European mixed forests,2023,R22,negative,fresh,both,252.76250000000002,0.6074999999999999,0.00303,252.76250000000002,0.6074999999999999,0.00303
M_BRA,centre,654,Central European mixed forests,2023,R1A,restored,dry,both,240.88,0.3825,0.00501,240.88,0.3825,0.00501
M_CAL,centre,654,Central European mixed forests,2022,R22,restored,fresh,mowing,214.3125,0.585,6.825e-4,214.3125,0.585,6.825e-4
M_DOR,centre,654,Central European mixed forests,2022,R22,restored,fresh,mowing,231.2475,0.66,0.0016125,231.2475,0.66,0.0016125
M_GRO,centre,654,Central European mixed forests,2022,R22,restored,fresh,both,268.1675,0.7975,0.00216,268.1675,0.7975,0.00216
M_HAH,centre,654,Central European mixed forests,2023,R1A,positive,dry,none,180.52499999999998,0.1475,8.15e-4,180.52499999999998,0.1475,8.15e-4
M_HIR,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,211.43,0.395,0.0013825,211.43,0.395,0.0013825
M_HNB,centre,654,Central European mixed forests,2023,R1A,restored,dry,grazing,189.3025,0.3075,0.0019425,189.3025,0.3075,0.0019425
M_ILB,centre,654,Central European mixed forests,2023,R22,restored,fresh,mowing,233.9975,0.355,0.00126,233.9975,0.355,0.00126
M_KIF,centre,654,Central European mixed forests,2022,R1A,negative,dry,mowing,186.675,0.4025,0.0040475,186.675,0.4025,0.0040475
M_KOT,centre,654,Central European mixed forests,2022,R22,restored,fresh,none,231.4425,0.5,0.0022375,231.4425,0.5,0.0022375
M_KUH,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,174.8425,0.355,0.00252,174.8425,0.355,0.00252
M_NIS,centre,654,Central European mixed forests,2022,R1A,negative,dry,none,238.34,0.445,7.875e-4,238.34,0.445,7.875e-4
M_SKF,centre,654,Central European mixed forests,2022,R22,restored,fresh,both,198.01,0.46,0.0010425,198.01,0.46,0.0010425
M_SMH,centre,654,Central European mixed forests,2023,R1A,negative,dry,none,175.245,0.40249999999999997,0.0029925,175.245,0.40249999999999997,0.0029925
M_SSB,centre,654,Central European mixed forests,2022,R1A,positive,dry,grazing,188.2575,0.2925,0.0022175,188.2575,0.2925,0.0022175
M_STA,centre,654,Central European mixed forests,2023,R22,restored,fresh,mowing,248.12,0.6125,0.0016675,248.12,0.6125,0.0016675
M_STF,centre,654,Central European mixed forests,2023,R22,restored,moist,mowing,254.98,0.465,9.2e-4,254.98,0.465,9.2e-4
M_STI,centre,654,Central European mixed forests,2023,R22,restored,moist,mowing,243.0675,0.5875,0.0025275,243.0675,0.5875,0.0025275
M_STN,centre,654,Central European mixed forests,2023,R1A,restored,dry,grazing,210.36,0.3225,0.00216,210.36,0.3225,0.00216
M_TAN,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,175.9475,0.3225,0.0020025,175.9475,0.3225,0.0020025
M_TTH,centre,654,Central European mixed forests,2023,R1A,restored,dry,grazing,182.85,0.195,7.4e-4,182.85,0.195,7.4e-4
M_TTO,centre,654,Central European mixed forests,2022,R1A,positive,dry,grazing,191.065,0.21500000000000002,9.05e-4,191.065,0.21500000000000002,9.05e-4
M_TTP,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,167.065,0.325,0.0015325,167.065,0.325,0.0015325
M_VOC,centre,654,Central European mixed forests,2023,R22,restored,fresh,mowing,239.6925,0.515,0.001965,239.6925,0.515,0.001965
M_WDG,centre,654,Central European mixed forests,2022,R22,restored,fresh,mowing,201.485,0.37,0.0017775,201.485,0.37,0.0017775
M_WED,centre,654,Central European mixed forests,2023,R22,restored,moist,mowing,245.85000000000002,0.7374999999999999,0.002345,245.85000000000002,0.7374999999999999,0.002345
M_WEF,centre,654,Central European mixed forests,2022,R22,restored,moist,mowing,229.35,0.61,7.025e-4,229.35,0.61,7.025e-4
N_AFE,north,664,European Atlantic mixed forests,2023,R22,restored,fresh,both,236.4125,0.435,0.0014475,236.4125,0.435,0.0014475
N_ALA,north,664,European Atlantic mixed forests,2022,R22,restored,fresh,mowing,227.4325,0.56,0.0010025000000000001,227.4325,0.56,0.0010025000000000001
N_ARE,north,664,European Atlantic mixed forests,2022,R22,restored,fresh,mowing,274.99,0.47250000000000003,6.825000000000001e-4,274.99,0.47250000000000003,6.825000000000001e-4
N_BEB,north,664,European Atlantic mixed forests,2022,R22,restored,fresh,both,278.685,0.5225000000000001,0.00106,278.685,0.5225000000000001,0.00106
N_BEN,north,664,European Atlantic mixed forests,2023,R22,negative,fresh,mowing,232.23,0.435,0.00263,232.23,0.435,0.00263
N_BIT,north,664,European Atlantic mixed forests,2022,R22,restored,fresh,grazing,245.8325,0.3975,5.675e-4,245.8325,0.3975,5.675e-4
N_BLE,north,664,European Atlantic mixed forests,2023,R22,positive,fresh,mowing,252.9275,0.45,5.1e-4,252.9275,0.45,5.1e-4
N_BRD,north,664,European Atlantic mixed forests,2022,R22,restored,fresh,both,284.6075,0.6125,5.225e-4,284.6075,0.6125,5.225e-4
N_BU1,north,664,European Atlantic mixed forests,2022,R22,negative,fresh,grazing,308.0525,0.4175,3.7e-4,308.0525,0.4175,3.7e-4
N_CNI,north,664,European Atlantic mixed forests,2023,R22,restored,moist,both,276.9825,0.375,3.775e-4,276.9825,0.375,3.775e-4
N_DAM,north,664,European Atlantic mixed forests,2022,R22,restored,fresh,mowing,278.60249999999996,1.1575,0.00253,278.60249999999996,1.1575,0.00253
