id.plot,id.site,longitude,latitude,region,eco.id,eco.name,obs.year,esy4,site.type,hydrology,mngm.type,cwm.abu.sla,cwm.abu.height,cwm.abu.seedmass,fric.abu.sla,fric.abu.height,fric.abu.seedmass
M_ALT_A2,M_ALT,11.74807035,51.82958952,centre,654,Central European mixed forests,2022,R22,negative,moist,mowing,228.39,0.69,0.00176,7.48,37.25,6.07461
M_ALT_A3,M_ALT,11.74807035,51.82958952,centre,654,Central European mixed forests,2022,R22,negative,moist,mowing,219.48,0.73,0.0018,9.58,157.79,28.15501
M_BAD_A1,M_BAD,11.59227903,51.32216743,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,188.06,0.17,0.00177,26.79,68.81,8.18172
M_BAD_A2,M_BAD,11.59227903,51.32216743,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,165.93,0.16,0.00297,11.3,49.08,6.66663
M_BAD_A3,M_BAD,11.59227903,51.32216743,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,174.03,0.15,9.4e-4,13.84,49.08,108.64715
M_BAD_A4,M_BAD,11.59227903,51.32216743,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,190.88,0.15,0.00093000000000000005,34.62,49.08,147.5485
M_BIR_A1,M_BIR,12.37165595,51.82300851,centre,654,Central European mixed forests,2023,R22,positive,fresh,mowing,213.88,0.59,0.00168,36.91,22.74,64.30386
M_BIR_A2,M_BIR,12.37165595,51.82300851,centre,654,Central European mixed forests,2023,R1A,positive,fresh,mowing,195.38,0.28,0.00128,60.93,77.51,10.02978
M_BOD_A3,M_BOD,11.72985443,51.83255624,centre,654,Central European mixed forests,2023,R22,negative,fresh,both,260.6,0.72,0.00161,4.78,37.25,17.2144
M_BOD_A4,M_BOD,11.72985443,51.83255624,centre,654,Central European mixed forests,2023,R22,negative,fresh,both,255.71,0.49,0.0018,6.79,37.25,8.15184
M_BRA_A4,M_BRA,11.86698516,51.54885765,centre,654,Central European mixed forests,2023,R1A,restored,dry,both,245.27,0.41,0.00503,53.03,9.78,16.33961
M_BUH_A1,M_BUH,10.60948255,52.00891,centre,654,Central European mixed forests,2022,R22,restored,fresh,both,235,0.57,9.4e-4,10.3,13.76,8.96083
M_CAL_A1,M_CAL,11.8127823,51.91316941,centre,654,Central European mixed forests,2022,R22,restored,fresh,mowing,226.02,0.68,9.8e-4,8.41,11.08,10.56214
M_CAL_A2,M_CAL,11.8127823,51.91316941,centre,654,Central European mixed forests,2022,R22,restored,fresh,mowing,216.92,0.5,7.3e-4,7.05,11.08,10.56214
M_CAL_A3,M_CAL,11.8127823,51.91316941,centre,654,Central European mixed forests,2022,R22,restored,fresh,mowing,197.15,0.58,3.7e-4,7.25,11.08,4.17379
M_DOB_A2,M_DOB,11.76306711,51.62001263,centre,654,Central European mixed forests,2022,R1A,restored,dry,mowing,220.41,0.46,8.2e-4,10.48,27.62,13.75422
M_DOR_A1,M_DOR,11.81450305,51.64508573,centre,654,Central European mixed forests,2022,R22,restored,fresh,mowing,205.18,0.5,0.00161,7.44,13.76,10.02978
M_DOR_A3,M_DOR,11.81450305,51.64508573,centre,654,Central European mixed forests,2022,R22,restored,fresh,mowing,251.21,0.71,0.0023,8.18,9.9,10.02978
M_FAL_A1,M_FAL,11.35946299,51.74746391,centre,654,Central European mixed forests,2023,R22,restored,fresh,mowing,238.81,0.6,0.00137,27.68,13.56,6.58921
M_FAL_A4,M_FAL,11.35946299,51.74746391,centre,654,Central European mixed forests,2023,R22,restored,fresh,mowing,221.17,0.49,0.00118,3.72,23.69,11.90714
M_FRB_A3,M_FRB,11.73327072,51.62485865,centre,654,Central European mixed forests,2023,R1A,restored,dry,grazing,165.22,0.27,0.00272,80.26,78.52,51.28466
M_GRO_A1,M_GRO,11.68390121,51.76579064,centre,654,Central European mixed forests,2022,R22,restored,fresh,both,265.26,0.65,0.00169,7.68,22.74,12.26208
M_GRO_A2,M_GRO,11.68390121,51.76579064,centre,654,Central European mixed forests,2022,R22,restored,fresh,both,264.81,0.72,0.00212,28.96,22.74,12.26208
M_HAH_A1,M_HAH,11.62972068,51.30873546,centre,654,Central European mixed forests,2023,R1A,positive,dry,none,159.63,0.22,6e-4,32.76,43.18,6.53464
M_HAH_A2,M_HAH,11.62972068,51.30873546,centre,654,Central European mixed forests,2023,R1A,positive,dry,none,193.88,0.16,8.6e-4,19.15,33.34,85.03684
M_HAH_A4,M_HAH,11.62972068,51.30873546,centre,654,Central European mixed forests,2023,R1A,positive,dry,none,189.64,0.1,2.5e-4,19.15,33.34,85.03684
M_HAR_A4,M_HAR,11.08520296,51.82462193,centre,654,Central European mixed forests,2023,R22,restored,fresh,mowing,239.88,0.68,0.0029,7.1,77.51,14.71078
M_HIR_A1,M_HIR,11.68710429,51.1981926,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,204.59,0.35,0.00118,14.63,47.14,204.69771
M_HIR_A3,M_HIR,11.68710429,51.1981926,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,224.03,0.42,0.00166,32.79,12.75,90.03656
M_HIR_A4,M_HIR,11.68710429,51.1981926,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,210.04,0.41,0.00125,14.44,47.14,147.5485
M_HNB_A1,M_HNB,11.77775515,51.2062993,centre,654,Central European mixed forests,2023,R1A,restored,dry,grazing,180.11,0.35,0.00154,19.5,14.41,12.541
M_HNB_A2,M_HNB,11.77775515,51.2062993,centre,654,Central European mixed forests,2023,R1A,restored,dry,grazing,183.81,0.35,0.00254,7.44,10.5,13.75422
M_HNB_A3,M_HNB,11.77775515,51.2062993,centre,654,Central European mixed forests,2023,R1A,restored,dry,grazing,189.61,0.21,0.00196,8.38,77.51,8.67255
M_HNB_A4,M_HNB,11.77775515,51.2062993,centre,654,Central European mixed forests,2023,R1A,restored,dry,grazing,203.68,0.32,0.00173,9.68,10.53,13.75422
M_HOH_A2,M_HOH,11.65059088,51.85418882,centre,654,Central European mixed forests,2022,R22,restored,moist,mowing,200.88,0.4,0.00233,9.22,23.13,9.20975
M_ILB_A1,M_ILB,11.65441561,51.82311226,centre,654,Central European mixed forests,2023,R22,restored,fresh,mowing,236.13,0.37,0.0012,8.41,22.74,12.40834
M_ILB_A3,M_ILB,11.65441561,51.82311226,centre,654,Central European mixed forests,2023,R22,restored,fresh,mowing,248.12,0.34,7.3e-4,9.22,29.33,17.2144
M_KIF_A1,M_KIF,11.7568316,51.65465985,centre,654,Central European mixed forests,2022,R1A,negative,dry,mowing,236.73,0.55,0.00163,10.62,46.68,10.56214
M_KIF_A2,M_KIF,11.7568316,51.65465985,centre,654,Central European mixed forests,2022,R1A,negative,dry,mowing,176.28,0.43,0.00357,26.72,7.16,3.32832
M_KIF_A3,M_KIF,11.7568316,51.65465985,centre,654,Central European mixed forests,2022,R1A,negative,dry,mowing,165.73,0.3,0.00632,26.72,16.8,10.88846
M_KIF_A4,M_KIF,11.7568316,51.65465985,centre,654,Central European mixed forests,2022,R1A,negative,dry,mowing,167.96,0.33,0.00467,26.72,7.77,4.13865
M_KOT_A1,M_KOT,11.97743495,51.76112712,centre,654,Central European mixed forests,2022,R22,restored,fresh,none,235.57,0.51,0.0016,7.72,11.08,10.56214
M_KOT_A2,M_KOT,11.97743495,51.76112712,centre,654,Central European mixed forests,2022,R22,restored,fresh,none,226,0.5,0.00247,7.04,22.32,11.61255
M_KOT_A3,M_KOT,11.97743495,51.76112712,centre,654,Central European mixed forests,2022,R22,restored,fresh,none,232.77,0.48,0.00212,11.18,22.32,15.8461
M_KOT_A4,M_KOT,11.97743495,51.76112712,centre,654,Central European mixed forests,2022,R22,restored,fresh,none,231.43,0.51,0.00276,12,10.46,15.8461
M_KUH_A1,M_KUH,11.83230936,51.25517652,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,171.73,0.4,0.00311,28.25,46.77,27.2045
M_KUH_A2,M_KUH,11.83230936,51.25517652,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,174.32,0.45,0.00321,12.12,16.8,10.88846
M_KUH_A3,M_KUH,11.83230936,51.25517652,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,184.57,0.21,0.00124,28.25,56.23,19.71145
M_KUH_A4,M_KUH,11.83230936,51.25517652,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,168.75,0.36,0.00252,27.73,68.81,19.71145
M_LOB_A2,M_LOB,11.9262047,51.63375412,centre,654,Central European mixed forests,2023,R22,restored,fresh,mowing,237.8,0.59,0.00444,25.4,37.25,18.19943
M_NIS_A1,M_NIS,11.76049993,51.20428793,centre,654,Central European mixed forests,2022,R1A,negative,dry,none,218.23,0.31,6.8e-4,51.76,81.34,20.17344
M_NIS_A2,M_NIS,11.76049993,51.20428793,centre,654,Central European mixed forests,2022,R1A,negative,dry,none,253.06,0.64,0.00137,36.25,77.51,20.17344
M_NIS_A3,M_NIS,11.76049993,51.20428793,centre,654,Central European mixed forests,2022,R1A,negative,dry,none,252.89,0.46,4.8e-4,36.25,77.51,20.17344
M_NIS_A4,M_NIS,11.76049993,51.20428793,centre,654,Central European mixed forests,2022,R1A,negative,dry,none,229.18,0.37,6.2e-4,72.25,98.26,20.17344
M_SKF_A1,M_SKF,11.57491171,52.02875982,centre,654,Central European mixed forests,2022,R22,restored,fresh,both,229.78,0.55,0.00158,19.24,21.12,26.72425
M_SKF_A2,M_SKF,11.57491171,52.02875982,centre,654,Central European mixed forests,2022,R22,restored,fresh,both,200.87,0.49,6.9e-4,8.41,21.12,7.73759
M_SKF_A3,M_SKF,11.57491171,52.02875982,centre,654,Central European mixed forests,2022,R22,restored,fresh,both,183.89,0.44,0.00121,18.46,17.27,10.48717
M_SKF_A4,M_SKF,11.57491171,52.02875982,centre,654,Central European mixed forests,2022,R1A,restored,fresh,both,177.5,0.36,6.9e-4,18.46,14.33,17.44567
M_SMH_A3,M_SMH,11.59779124,51.33296162,centre,654,Central European mixed forests,2023,R1A,negative,dry,none,173.94,0.36,0.00436,67.38,25.32,12.40834
M_SSB_A1,M_SSB,11.72160941,51.21551542,centre,654,Central European mixed forests,2022,R1A,positive,dry,grazing,197.62,0.24,0.00199,72.25,24.65,5.77374
M_SSB_A2,M_SSB,11.72160941,51.21551542,centre,654,Central European mixed forests,2022,R1A,positive,dry,grazing,181.09,0.33,0.00236,36.9,43.18,11.81098
M_SSB_A3,M_SSB,11.72160941,51.21551542,centre,654,Central European mixed forests,2022,R1A,positive,dry,grazing,188.14,0.27,0.00226,14.13,18.29,5.40386
M_SSL_A3,M_SSL,11.92439633,51.6336248,centre,654,Central European mixed forests,2023,R1A,positive,dry,none,188.34,0.33,0.00146,8.62,30.15,10.02978
M_STA_A1,M_STA,12.03915626,51.87081962,centre,654,Central European mixed forests,2023,R22,restored,fresh,mowing,250.16,0.53,0.00131,8.28,157.79,21.03435
M_STA_A2,M_STA,12.03915626,51.87081962,centre,654,Central European mixed forests,2023,R22,restored,fresh,mowing,251.82,0.71,0.0017,6.1,22.74,9.20975
M_STA_A4,M_STA,12.03915626,51.87081962,centre,654,Central European mixed forests,2023,R22,restored,fresh,mowing,244.44,0.68,0.00216,8.28,37.25,64.30386
M_STF_A2,M_STF,11.6869805,52.28069534,centre,654,Central European mixed forests,2023,R22,restored,moist,mowing,237.61,0.44,7.7e-4,13.29,22.74,118.64473
M_STF_A3,M_STF,11.6869805,52.28069534,centre,654,Central European mixed forests,2023,R22,restored,moist,mowing,267.95,0.5,0.00115,31.65,22.74,41.12515
M_STF_A4,M_STF,11.6869805,52.28069534,centre,654,Central European mixed forests,2023,R22,restored,moist,mowing,270.38,0.53,0.00105,33.03,22.74,32.15635
M_STI_A2,M_STI,11.83597112,51.65776367,centre,654,Central European mixed forests,2023,R22,restored,moist,mowing,237.01,0.56,0.00291,4.94,22.74,8.15184
M_STI_A3,M_STI,11.83597112,51.65776367,centre,654,Central European mixed forests,2023,R22,restored,moist,mowing,242.56,0.64,0.00209,10.97,22.74,8.15184
M_STI_A4,M_STI,11.83597112,51.65776367,centre,654,Central European mixed forests,2023,R22,restored,moist,mowing,254.81,0.59,0.00193,5.72,22.74,25.14454
M_STN_A2,M_STN,11.51118008,51.27824642,centre,654,Central European mixed forests,2023,R1A,restored,dry,grazing,235.76,0.29,0.00146,102.52,60.77,35.09273
M_STN_A3,M_STN,11.51118008,51.27824642,centre,654,Central European mixed forests,2023,R1A,restored,dry,grazing,190.18,0.3,0.00244,123,60.77,208.84567
M_STN_A4,M_STN,11.51118008,51.27824642,centre,654,Central European mixed forests,2023,R1A,restored,dry,grazing,184.86,0.38,0.00347,102.52,35.76,27.90032
M_STP_A1,M_STP,12.05356323,51.87379422,centre,654,Central European mixed forests,2023,R22,positive,fresh,mowing,253.19,0.39,0.00133,36.25,84.57,64.30386
M_TAN_A1,M_TAN,11.75682108,51.64052353,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,178.73,0.25,0.00185,219.55,42.67,19.71596
M_TAN_A2,M_TAN,11.75682108,51.64052353,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,184.15,0.3,0.00194,30.75,42.67,19.71145
M_TAN_A3,M_TAN,11.75682108,51.64052353,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,168.05,0.34,0.00218,26.28,34.72,14.5145
M_TAN_A4,M_TAN,11.75682108,51.64052353,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,172.86,0.4,0.00204,28.55,30.54,10.90944
M_TRE_A3,M_TRE,11.96757714,51.64524689,centre,654,Central European mixed forests,2023,R22,restored,fresh,mowing,208.81,0.49,0.00221,12.97,21.12,32.15635
M_TRE_A4,M_TRE,11.96757714,51.64524689,centre,654,Central European mixed forests,2023,R22,restored,fresh,mowing,215.92,0.53,0.00196,10.87,22.74,17.2144
M_TTH_A1,M_TTH,11.74525195,51.20022449,centre,654,Central European mixed forests,2023,R1A,restored,dry,grazing,186.38,0.21,6.2e-4,74.64,42.67,208.84567
