id.plot,id.site,longitude,latitude,region,eco.id,eco.name,obs.year,esy4,site.type,hydrology,mngm.type,cwm.abu.oek.f,cwm.abu.oek.f.site,cwm.abu.oek.l,cwm.abu.oek.l.site,cwm.abu.sla,cwm.abu.height,cwm.abu.seedmass,fric.abu.sla,fric.abu.height,fric.abu.seedmass,fdis.abu.oek.f,fdis.abu.oek.l,fdis.abu.sla,fdis.abu.height,fdis.abu.seedmass,feve.abu.sla,feve.abu.height,feve.abu.seedmass
M_ALT_A1,M_ALT,11.74807035,51.82958952,centre,654,Central European mixed forests,2022,V38,negative,moist,mowing,5.04,6.155,7.48,7.6825,206.12,0.5,0.00179,17.39,19.97,8.15184,0.74,0.53,1.39,1.61,1.30132,1.25,1.4,1.5858
M_ALT_A4,M_ALT,11.74807035,51.82958952,centre,654,Central European mixed forests,2022,R,negative,moist,mowing,6.51,6.155,7.76,7.6825,210.66,0.6,0.00193,7.35,37.25,19.4507,0.38,0.33,1.84,1.52,1.24848,1.43,1.3,1.11945
M_ASE_A1,M_ASE,11.66707081,51.47886224,centre,654,Central European mixed forests,2023,V,restored,fresh,none,3.7,3.9925,7.47,7.29,212.2,0.52,0.00271,41.07,41.43,10.04263,0.39,0.63,1.86,1.56,1.40733,1.71,1.77,1.67393
M_ASE_A2,M_ASE,11.66707081,51.47886224,centre,654,Central European mixed forests,2023,V,restored,fresh,none,3.94,3.9925,7.35,7.29,226.69,0.54,0.00228,27.68,22.74,19.4507,0.34,0.57,1.92,1.56,1.72715,1.28,1.34,1.65029
M_ASE_A3,M_ASE,11.66707081,51.47886224,centre,654,Central European mixed forests,2023,V,restored,fresh,none,3.98,3.9925,7.45,7.29,242.1,0.57,0.00173,52.69,22.74,8.15184,0.28,0.59,1.86,1.91,1.63039,1.41,1.37,1.65773
M_ASE_A4,M_ASE,11.66707081,51.47886224,centre,654,Central European mixed forests,2023,V,restored,fresh,none,4.35,3.9925,6.89,7.29,250.17,0.42,0.00256,27.68,22.74,8.15184,0.3,0.55,1.81,1.58,1.73665,1.51,1.79,1.39948
M_BAD_A1,M_BAD,11.59227903,51.32216743,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,2.71,2.84,7.37,7.2525,188.06,0.17,0.00177,26.79,68.81,8.18172,0.4,0.53,1.77,2.04,1.5916,1.51,1.61,1.5384
M_BAD_A2,M_BAD,11.59227903,51.32216743,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,2.48,2.84,7.11,7.2525,165.93,0.16,0.00297,11.3,49.08,6.66663,0.28,0.27,1.51,2.2,1.72244,1.79,1.59,1.51128
M_BAD_A3,M_BAD,11.59227903,51.32216743,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,3.14,2.84,7.09,7.2525,174.03,0.15,9.4e-4,13.84,49.08,108.64715,0.25,0.49,1.68,2.31,2.52045,1.79,1.42,1.44852
M_BAD_A4,M_BAD,11.59227903,51.32216743,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,3.03,2.84,7.44,7.2525,190.88,0.15,0.00093000000000000005,34.62,49.08,147.5485,0.33,0.85,1.63,2.54,1.96022,1.56,1.67,1.4979
