id.plot,id.site,region,eco.id,eco.name,altitude,longitude,latitude,esy4,esy16,start.rest,rest.meth,obs.year,site.type,hydrology,mngm.type,lui,c.n.B10,c.n,ph.value,clay.perc.B10,clay.perc.B30,silt.perc.B10,silt.perc.B30,sand.perc.B10,sand.perc.B30,clay.perc,silt.perc,sand.perc,rest.meth.type,rest.age,fdis.abu.sla,fric.abu.sla,cwm.abu.sla,fdis.pres.sla,fric.pres.sla,cwm.pres.sla,fdis.abu.height,fric.abu.height,cwm.abu.height,fdis.pres.height,fric.pres.height,cwm.pres.height,fdis.abu.seedmass,fric.abu.seedmass,cwm.abu.seedmass,fdis.pres.seedmass,fric.pres.seedmass,cwm.pres.seedmass
M_ALT_A1,M_ALT,centre,654,Central European mixed forests,58.13999939,11.74807035,51.82958952,V38,R,NA,NA,2022,negative,moist,mowing,1.03539823,18.1556196,13.55762346,7.115,11,16.5,25,78.5,64,13.5,13.75,51.75,38.75,negative,NA,1.37,15.45,206.12,1.63,15.45,251.07,1.53,14.65,0.5,1.85,14.65,0.34,1.33909,10.23897,0.00179,1.90592,10.23897,0.00104
M_ALT_A2,M_ALT,centre,654,Central European mixed forests,58.13999939,11.74807035,51.82958952,R22,R,NA,NA,2022,negative,moist,mowing,1.03539823,18.1556196,13.55762346,7.115,11,16.5,25,78.5,64,13.5,13.75,51.75,38.75,negative,NA,1.77,6.88,228.46,1.55,6.88,245.32,1.72,25.62,0.69,2.37,25.62,0.4,1.39908,7.38995,0.00176,1.86862,7.38995,7.80E-04
M_ALT_A3,M_ALT,centre,654,Central European mixed forests,58.13999939,11.74807035,51.82958952,R22,R,NA,NA,2022,negative,moist,mowing,1.03539823,18.1556196,13.55762346,7.115,11,16.5,25,78.5,64,13.5,13.75,51.75,38.75,negative,NA,1.89,8.73,219.48,1.52,8.73,256.79,1.67,93.47,0.73,2.89,93.47,0.37,1.40816,40.46112,0.0018,1.9604,40.46112,0.00125
M_ALT_A4,M_ALT,centre,654,Central European mixed forests,58.13999939,11.74807035,51.82958952,R,R,NA,NA,2022,negative,moist,mowing,1.03539823,18.1556196,13.55762346,7.115,11,16.5,25,78.5,64,13.5,13.75,51.75,38.75,negative,NA,1.8,6.77,210.66,1.53,6.77,234.57,1.46,25.62,0.6,2.4,25.62,0.4,1.27895,26.85143,0.00193,2.22934,26.85143,0.00143
M_ASE_A1,M_ASE,centre,654,Central European mixed forests,124.5699997,11.66707081,51.47886224,V,V,2021,res,2023,restored,fresh,none,0,18.58151023,18.65908463,7.29,45,45,52.5,52.5,12.5,12.5,45,52.5,12.5,res,2,1.82,35.22,213.28,1.72,35.22,228.41,1.48,28.19,0.52,1.76,28.19,0.48,1.45189,12.90297,0.00273,1.81682,12.90297,0.00109
M_ASE_A2,M_ASE,centre,654,Central European mixed forests,124.5699997,11.66707081,51.47886224,V,V,2021,res,2023,restored,fresh,none,0,18.58151023,18.65908463,7.29,45,45,52.5,52.5,12.5,12.5,45,52.5,12.5,res,2,1.87,24.13,226.69,1.8,24.13,230.35,1.49,16.46,0.54,1.79,16.46,0.42,1.8328,26.85143,0.00228,1.77981,26.85143,0.00147
M_ASE_A3,M_ASE,centre,654,Central European mixed forests,124.5699997,11.66707081,51.47886224,V,V,2021,res,2023,restored,fresh,none,0,18.58151023,18.65908463,7.29,45,45,52.5,52.5,12.5,12.5,45,52.5,12.5,res,2,1.81,44.72,242.1,1.91,44.72,242.21,1.79,16.46,0.57,1.62,16.46,0.4,1.71931,10.23897,0.00173,1.7019,10.23897,0.00111
M_ASE_A4,M_ASE,centre,654,Central European mixed forests,124.5699997,11.66707081,51.47886224,V,V,2021,res,2023,restored,fresh,none,0,18.58151023,18.65908463,7.29,45,45,52.5,52.5,12.5,12.5,45,52.5,12.5,res,2,1.77,24.13,250.17,1.84,24.13,238.93,1.51,16.46,0.42,1.69,16.46,0.43,1.84397,10.23897,0.00256,1.64171,10.23897,0.00125
M_BAD_A1,M_BAD,centre,654,Central European mixed forests,184.0800018,11.59227903,51.32216743,R1A,R1A,2017,mga,2022,restored,dry,grazing,0.297346592,41.22807018,62.15249663,7.365,2.5,2.5,5,5,92.5,92.5,2.5,5,92.5,mga,5,1.76,23.39,190.38,2,23.39,215.26,2.34,598.65,0.2,3.18,598.65,0.3,1.82339,30.61198,0.00197,1.95433,30.61198,0.0018
M_BAD_A2,M_BAD,centre,654,Central European mixed forests,184.0800018,11.59227903,51.32216743,R1A,R1A,2017,mga,2022,restored,dry,grazing,0.297346592,41.22807018,62.15249663,7.365,2.5,2.5,5,5,92.5,92.5,2.5,5,92.5,mga,5,1.5,10.22,164.19,1.83,10.22,191.76,2.05,32.81,0.16,2.48,32.81,0.19,1.93915,8.1925,0.0026,1.65599,8.1925,0.00118
M_BAD_A3,M_BAD,centre,654,Central European mixed forests,184.0800018,11.59227903,51.32216743,R1A,R1A,2017,mga,2022,restored,dry,grazing,0.297346592,41.22807018,62.15249663,7.365,2.5,2.5,5,5,92.5,92.5,2.5,5,92.5,mga,5,1.67,12.41,180.52,1.78,12.41,202.29,2.26,32.81,0.15,2.41,32.81,0.22,2.11189,10.05235,0.00143,1.78518,10.05235,0.00114
