id.plot,id.site,region,eco.id,eco.name,altitude,longitude,latitude,esy4,esy16,land.use.hist,obs.year,site.type,fertilized,hydrology,mngm.type,rest.age,fdis.abu.sla,fric.abu.sla,cwm.abu.sla,fdis.pres.sla,fric.pres.sla,cwm.pres.sla,fdis.abu.height,fric.abu.height,cwm.abu.height,fdis.pres.height,fric.pres.height,cwm.pres.height,fdis.abu.seedmass,fric.abu.seedmass,cwm.abu.seedmass,fdis.pres.seedmass,fric.pres.seedmass,cwm.pres.seedmass
M_ALT_A1,M_ALT,centre,654,Central European mixed forests,58.13999939,11.74807035,51.82958952,V38,R,NA,2022,negative,0,moist,mowing,NA,1.4,17.73,206.12,1.67,17.73,251.07,1.61,19.88,0.5,1.98,19.88,0.34,1.30019,8.0955,0.00179,1.78575,8.0955,0.00104
M_ALT_A2,M_ALT,centre,654,Central European mixed forests,58.13999939,11.74807035,51.82958952,R22,R,NA,2022,negative,0,moist,mowing,NA,1.83,7.59,228.46,1.59,7.59,245.32,1.83,37.06,0.69,2.62,37.06,0.37,1.35305,6.03849,0.00176,1.78753,6.03849,7.60E-04
M_ALT_A3,M_ALT,centre,654,Central European mixed forests,58.13999939,11.74807035,51.82958952,R22,R,NA,2022,negative,0,moist,mowing,NA,1.95,9.73,219.48,1.55,9.73,256.79,1.77,156.66,0.73,3.26,156.66,0.37,1.36032,27.84609,0.0018,1.83157,27.84609,0.00125
M_ALT_A4,M_ALT,centre,654,Central European mixed forests,58.13999939,11.74807035,51.82958952,R,R,NA,2022,negative,0,moist,mowing,NA,1.85,7.46,210.66,1.56,7.46,234.57,1.52,37.06,0.6,2.65,37.06,0.4,1.24757,19.26081,0.00193,2.05598,19.26081,0.00143
M_ASE_A1,M_ASE,centre,654,Central European mixed forests,124.5699997,11.66707081,51.47886224,V,V,arable land,2023,restored,NA,fresh,none,2,1.88,42.14,213.28,1.77,42.14,228.41,1.55,41.21,0.52,1.91,41.21,0.47,1.39969,9.96634,0.00272,1.71866,9.96634,0.00108
M_ASE_A2,M_ASE,centre,654,Central European mixed forests,124.5699997,11.66707081,51.47886224,V,V,arable land,2023,restored,NA,fresh,none,2,1.93,28.33,226.69,1.85,28.33,230.35,1.56,22.63,0.54,1.92,22.63,0.42,1.72403,19.26081,0.00228,1.67916,19.26081,0.00147
M_ASE_A3,M_ASE,centre,654,Central European mixed forests,124.5699997,11.66707081,51.47886224,V,V,arable land,2023,restored,NA,fresh,none,2,1.86,54.16,242.1,1.97,54.16,242.21,1.91,22.63,0.57,1.72,22.63,0.4,1.62776,8.0955,0.00173,1.61293,8.0955,0.00111
M_ASE_A4,M_ASE,centre,654,Central European mixed forests,124.5699997,11.66707081,51.47886224,V,V,arable land,2023,restored,NA,fresh,none,2,1.82,28.33,250.17,1.9,28.33,238.93,1.58,22.63,0.42,1.79,22.63,0.43,1.73348,8.0955,0.00256,1.56155,8.0955,0.00125
M_BAD_A1,M_BAD,centre,654,Central European mixed forests,184.0800018,11.59227903,51.32216743,R1A,R1A,grassland,2022,restored,NA,dry,grazing,5,1.84,27.41,188.03,2.17,27.41,203.75,2.03,68.4,0.17,2.94,68.4,0.25,1.5697,8.12507,0.00169,1.70172,8.12507,0.00158
M_BAD_A2,M_BAD,centre,654,Central European mixed forests,184.0800018,11.59227903,51.32216743,R1A,R1A,grassland,2022,restored,NA,dry,grazing,5,1.47,11.49,162.22,1.92,11.49,185.26,2.2,48.81,0.16,2.61,48.81,0.19,1.80975,6.62495,0.00267,1.6214,6.62495,0.00132
