id.plot,id.site,region,eco.id,eco.name,altitude,longitude,latitude,esy4,esy16,land.use.hist,obs.year,site.type,hydrology,mngm.type,rest.age,fdis.abu.oek.f,cwm.abu.oek.f,fdis.pres.oek.f,cwm.pres.oek.f,cwm.abu.oek.f.site,cwm.pres.oek.f.site,fdis.abu.oek.l,cwm.abu.oek.l,fdis.pres.oek.l,cwm.pres.oek.l,cwm.abu.oek.l.site,cwm.pres.oek.l.site,fdis.abu.sla,fric.abu.sla,feve.abu.sla,cwm.abu.sla,fdis.pres.sla,fric.pres.sla,feve.pres.sla,cwm.pres.sla,fdis.abu.height,fric.abu.height,feve.abu.height,cwm.abu.height,fdis.pres.height,fric.pres.height,feve.pres.height,cwm.pres.height,fdis.abu.seedmass,fric.abu.seedmass,feve.abu.seedmass,cwm.abu.seedmass,fdis.pres.seedmass,fric.pres.seedmass,feve.pres.seedmass,cwm.pres.seedmass
M_ALT_A1,M_ALT,centre,654,Central European mixed forests,58.13999939,11.74807035,51.82958952,V38,R,NA,2022,negative,moist,mowing,NA,0.74,5.04,0.49,4.9,6.155,4.9825,0.53,7.48,0.61,7.07,7.6825,7.26,1.39,17.39,1.25,206.12,1.66,17.39,1.76,251.07,1.61,19.97,1.4,0.5,1.99,19.97,2.05,0.34,1.30132,8.15184,1.5858,0.00179,1.78918,8.15184,1.84179,0.00104
M_ALT_A2,M_ALT,centre,654,Central European mixed forests,58.13999939,11.74807035,51.82958952,R22,R,NA,2022,negative,moist,mowing,NA,0.42,6.41,0.44,5,6.155,4.9825,0.41,7.71,0.61,7.09,7.6825,7.26,1.82,7.48,1.45,228.39,1.64,7.48,1.86,239.81,1.83,37.25,1.73,0.69,2.62,37.25,2.01,0.37,1.35441,6.07461,1.61219,0.00176,1.79098,6.07461,1.76451,7.60E-04
M_ALT_A3,M_ALT,centre,654,Central European mixed forests,58.13999939,11.74807035,51.82958952,R22,R,NA,2022,negative,moist,mowing,NA,0.3,6.66,0.54,4.86,6.155,4.9825,0.32,7.78,0.57,7.38,7.6825,7.26,1.94,9.58,1.39,219.48,1.55,9.58,1.79,256.79,1.77,157.79,1.18,0.73,3.26,157.79,1.77,0.37,1.36171,28.15501,1.06871,0.0018,1.83525,28.15501,1.59735,0.00125
M_ALT_A4,M_ALT,centre,654,Central European mixed forests,58.13999939,11.74807035,51.82958952,R,R,NA,2022,negative,moist,mowing,NA,0.38,6.51,0.62,5.17,6.155,4.9825,0.33,7.76,0.54,7.5,7.6825,7.26,1.84,7.35,1.43,210.66,1.56,7.35,1.93,234.57,1.52,37.25,1.3,0.6,2.66,37.25,1.92,0.4,1.24848,19.4507,1.11945,0.00193,2.0609,19.4507,1.82157,0.00143
M_ASE_A1,M_ASE,centre,654,Central European mixed forests,124.5699997,11.66707081,51.47886224,V,V,arable land,2023,restored,fresh,none,2,0.39,3.7,0.35,4.29,3.9925,4.22,0.63,7.47,0.71,7.29,7.29,7.22,1.86,41.07,1.71,212.2,1.76,41.07,1.59,227.14,1.56,41.43,1.77,0.52,1.92,41.43,1.86,0.47,1.40733,10.04263,1.67393,0.00271,1.72175,10.04263,1.82103,0.00108
M_ASE_A2,M_ASE,centre,654,Central European mixed forests,124.5699997,11.66707081,51.47886224,V,V,arable land,2023,restored,fresh,none,2,0.34,3.94,0.38,4.22,3.9925,4.22,0.57,7.35,0.65,7.17,7.29,7.22,1.92,27.68,1.28,226.69,1.84,27.68,1.7,230.35,1.56,22.74,1.34,0.54,1.92,22.74,1.8,0.42,1.72715,19.4507,1.65029,0.00228,1.68205,19.4507,1.6649,0.00147
M_ASE_A3,M_ASE,centre,654,Central European mixed forests,124.5699997,11.66707081,51.47886224,V,V,arable land,2023,restored,fresh,none,2,0.28,3.98,0.37,4.17,3.9925,4.22,0.59,7.45,0.69,7.21,7.29,7.22,1.86,52.69,1.41,242.1,1.96,52.69,1.7,242.21,1.91,22.74,1.37,0.57,1.72,22.74,1.8,0.4,1.63039,8.15184,1.65773,0.00173,1.61549,8.15184,1.74081,0.00111
M_ASE_A4,M_ASE,centre,654,Central European mixed forests,124.5699997,11.66707081,51.47886224,V,V,arable land,2023,restored,fresh,none,2,0.3,4.35,0.29,4.2,3.9925,4.22,0.55,6.89,0.63,7.21,7.29,7.22,1.81,27.68,1.51,250.17,1.89,27.68,1.71,238.93,1.58,22.74,1.79,0.42,1.79,22.74,1.86,0.43,1.73665,8.15184,1.39948,0.00256,1.56386,8.15184,1.79848,0.00125
M_BAD_A1,M_BAD,centre,654,Central European mixed forests,184.0800018,11.59227903,51.32216743,R1A,R1A,grassland,2022,restored,dry,grazing,5,0.4,2.71,0.36,3.19,2.84,3.1575,0.53,7.37,0.62,7.5,7.2525,7.3725,1.77,26.79,1.51,188.06,2.01,26.79,1.75,202.48,2.04,68.81,1.61,0.17,2.94,68.81,1.99,0.25,1.5916,8.18172,1.5384,0.00177,1.71155,8.18172,1.83194,0.00169
M_BAD_A2,M_BAD,centre,654,Central European mixed forests,184.0800018,11.59227903,51.32216743,R1A,R1A,grassland,2022,restored,dry,grazing,5,0.28,2.48,0.21,2.94,2.84,3.1575,0.27,7.11,0.69,7.47,7.2525,7.3725,1.51,11.3,1.79,165.93,1.79,11.3,1.97,186.11,2.2,49.08,1.59,0.16,2.61,49.08,1.96,0.19,1.72244,6.66663,1.51128,0.00297,1.63794,6.66663,1.808,0.00143
